ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540008,Malawi,4540003,"TA Kachindamoto",3,1998,8.728041,.6368732,.7455576,.0362187,.322716,.0281594,.1742759,.0201801,.4236903,.0446854,.3308077,.0174085,50766.5080992,.1852068,.020447,.190427,.0233296,.2502414,.0465931,.0892323,.0097784,.3058868,.0262328,16041,15748,68092,67471,
4540009,Malawi,4540003,"TA Kaphuka",3,1998,10.14018,.6852616,.6618182,.0320601,.2797031,.0218841,.151532,.0162658,.357337,.0323394,.3682994,.0242503,68578.9255204,.232995,.0333793,.2386931,.0368644,.327166,.0729823,.1107378,.01535,.3716654,.0414233,24253,24000,103622,103337,
4540010,Malawi,4540003,"TA Kasumbu",3,1998,8.050157,1.216587,.793164,.0542561,.4196036,.0539781,.2658813,.0453342,.559321,.0771057,.4387696,.0391561,44508.39786,.340388,.0649505,.3683846,.0747076,.6304449,.1773979,.1609177,.0290083,.4831886,.0630437,12841,12699,56115,55733,
4540011,Malawi,4540003,"TA Pemba",3,1998,9.328351,.5706492,.7168762,.0248742,.321904,.0223429,.1815602,.0184511,.4197964,.0328221,.3821291,.0255091,75517.8895366,.2531112,.0365281,.2658804,.0432653,.396761,.0999237,.1207611,.0170687,.3965734,.0450753,24681,24472,105343,105048,
4540012,Malawi,4540003,"TA Tambala",3,1998,7.454931,1.24145,.8281606,.0489611,.4495217,.0624789,.2870944,.0562506,.6073508,.0854042,.4295093,.037272,42825.0127866,.3217127,.0594289,.3606766,.0748412,.6337525,.1867705,.1552736,.0279704,.4570136,.0599458,12179,12069,51711,51554,
4540014,Malawi,4540013,"Dowa Boma",3,1998,16.3048,2.837,.45896,.08268,.17695,.0461,.09167,.029342,.21525,.06753,.4331,.040455,2062.10728,.32944,.06597,.35982,.08829,.61637,.28204,.15713,.031394,.46015,.05706,844,838,4493,4214,
4540015,Malawi,4540013,"Mponela Urban",3,1998,16.3955,2.1805,.45404,.06416,.17514,.03473,.09069,.021701,.21209,.04885,.43503,.034055,4470.47784,.33025,.05549,.35526,.07201,.59944,.24335,.15653,.025934,.46601,.04991,1964,1954,9846,9623,
4540016,Malawi,4540013,"SC Chakhaza",3,1998,15.2775,1.999184,.4249143,.0633346,.1520628,.0290862,.0746877,.0165832,.1766888,.0393757,.3741228,.0245566,39862.4852259,.2419167,.0349777,.2434739,.0364931,.3267809,.0749997,.1138612,.0155676,.3852339,.0429492,19951,19795,93813,93530,
4540017,Malawi,4540013,"SC Kayembe",3,1998,22.23417,2.832067,.2376418,.0449403,.0768538,.0183741,.0355145,.0100604,.0837387,.0240204,.3773604,.0253125,14611.1684312,.2480373,.0361841,.2454905,.0387062,.3375529,.2131489,.1156717,.0160641,.3967879,.0445674,13256,12538,61484,60937,
4540018,Malawi,4540013,"SC Mkukula",3,1998,11.1202,1.154,.61562,.07212,.27707,.05622,.15944,.04229,.35588,.08054,.40826,.04483,32334.82488,.29334,.07035,.29892,.08674,.44164,.2241,.13681,.03274,.43689,.06286,12196,12120,52524,52200,
4540019,Malawi,4540013,"SC Mponela",3,1998,12.0189,1.27,.55953,.06476,.23077,.04063,.12501,.02811,.28864,.05852,.38133,.02861,14208.14529,.25366,.04216,.24959,.03966,.32008,.0618,.11798,.01794,.40136,.05174,5695,5371,25393,25263,
4540020,Malawi,4540013,"TA Chiwere",3,1998,15.23355,25.23215,.7179332,.0677142,.3533153,.0623192,.2161527,.0527511,.4610935,.0863555,.4702402,.1326238,44348.8875636,.5028523,.4733342,.5335163,.5644811,1.455286,2.602965,.2074138,.1555879,.5869762,.2047285,14427,13935,61773,60670,
4540021,Malawi,4540013,"TA Dzoole",3,1998,19.8337,19.665,.40876,.04906,.14933,.02418,.07448,.015,.17613,.03424,.42507,.09439,22032.98152,.35649,.3375,.5004,.7888,7.63594,32.9293,.16638,.12552,.52902,.19622,11384,11127,53902,52690,
4540022,Malawi,4540013,"TA Msakambewa",3,1998,11.1338,1.267,.64572,.045,.30767,.04137,.18569,.03694,.39496,.05645,.44862,.05849,31097.22948,.36597,.11212,.37486,.11519,.60508,.2823,.16749,.04588,.50375,.10069,10662,10457,48159,47167,
4540024,Malawi,4540023,"Kasungu Boma",3,1998,23.2297,3.7074,.27796,.06785,.09073,.02728,.04189,.014513,.09949,.03456,.43027,.032816,7714.50184,.31961,.05262,.34482,.06961,.56968,.2254,.15224,.024951,.45258,.04746,5841,5753,27754,26401,
